resume_text,job_text,fit_score
Resume content 0,Job description content 0,0.11302365662807456
Resume content 1,Job description content 1,0.5845394699259414
Resume content 2,Job description content 2,0.48908338806109897
Resume content 3,Job description content 3,0.11099564012375995
Resume content 4,Job description content 4,0.9608863823707037
Resume content 5,Job description content 5,0.4136703089746736
Resume content 6,Job description content 6,0.45437051647636595
Resume content 7,Job description content 7,0.16071790278472808
Resume content 8,Job description content 8,0.9309312096131553
Resume content 9,Job description content 9,0.23171242966526961
Resume content 10,Job description content 10,0.559127786764922
Resume content 11,Job description content 11,0.564571681032938
Resume content 12,Job description content 12,0.8560547557858116
Resume content 13,Job description content 13,0.5202456751952519
Resume content 14,Job description content 14,0.5077835864296478
Resume content 15,Job description content 15,0.9202887115031485
Resume content 16,Job description content 16,0.32310300834710004
Resume content 17,Job description content 17,0.8945019389273638
Resume content 18,Job description content 18,0.2506724502651849
Resume content 19,Job description content 19,0.06405737656297861
Resume content 20,Job description content 20,0.8943226683534333
Resume content 21,Job description content 21,0.6531785212479625
Resume content 22,Job description content 22,0.958092566510606
Resume content 23,Job description content 23,0.8835975877636376
Resume content 24,Job description content 24,0.006785042416022069
Resume content 25,Job description content 25,0.3243198268905587
Resume content 26,Job description content 26,0.0010433408520514886
Resume content 27,Job description content 27,0.7555425815957479
Resume content 28,Job description content 28,0.22057713667864898
Resume content 29,Job description content 29,0.5846646116958629
Resume content 30,Job description content 30,0.8892983160712568
Resume content 31,Job description content 31,0.13824747571986784
Resume content 32,Job description content 32,0.6329352584826773
Resume content 33,Job description content 33,0.699346711026124
Resume content 34,Job description content 34,0.6993323250820915
Resume content 35,Job description content 35,0.4742468636622983
Resume content 36,Job description content 36,0.9826712121729883
Resume content 37,Job description content 37,0.09800362915388472
Resume content 38,Job description content 38,0.8687353960668044
Resume content 39,Job description content 39,0.04524894252510003
Resume content 40,Job description content 40,0.17926552389088313
Resume content 41,Job description content 41,0.19098804942943315
Resume content 42,Job description content 42,0.17664211610879443
Resume content 43,Job description content 43,0.6550687079499543
Resume content 44,Job description content 44,0.4104585538898281
Resume content 45,Job description content 45,0.8956353942980627
Resume content 46,Job description content 46,0.02236993908378926
Resume content 47,Job description content 47,0.5543606315049171
Resume content 48,Job description content 48,0.7304906771470289
Resume content 49,Job description content 49,0.5584912788724334
Resume content 50,Job description content 50,0.18115739852581103
Resume content 51,Job description content 51,0.9279725567209754
Resume content 52,Job description content 52,0.24689548672138018
Resume content 53,Job description content 53,0.0456087167173157
Resume content 54,Job description content 54,0.8563910875787429
Resume content 55,Job description content 55,0.475972912777503
Resume content 56,Job description content 56,0.6143316362683071
Resume content 57,Job description content 57,0.4798758082502471
Resume content 58,Job description content 58,0.3063467452418709
Resume content 59,Job description content 59,0.9354040131975215
Resume content 60,Job description content 60,0.8545909727649873
Resume content 61,Job description content 61,0.7972864378711735
Resume content 62,Job description content 62,0.4976422637103749
Resume content 63,Job description content 63,0.8426939846688298
Resume content 64,Job description content 64,0.15792811521177352
Resume content 65,Job description content 65,0.1911342054340408
Resume content 66,Job description content 66,0.3474896626084367
Resume content 67,Job description content 67,0.01991599038956493
Resume content 68,Job description content 68,0.15299707315762268
Resume content 69,Job description content 69,0.4991725528223169
Resume content 70,Job description content 70,0.553510574052918
Resume content 71,Job description content 71,0.13374255069195606
Resume content 72,Job description content 72,0.4465088765955315
Resume content 73,Job description content 73,0.525756985612826
Resume content 74,Job description content 74,0.642388564240457
Resume content 75,Job description content 75,0.1286125193687757
Resume content 76,Job description content 76,0.7095831921770426
Resume content 77,Job description content 77,0.5840937243092565
Resume content 78,Job description content 78,0.03475785278390553
Resume content 79,Job description content 79,0.06350378272978108
Resume content 80,Job description content 80,0.9013613495342246
Resume content 81,Job description content 81,0.2624664710165443
Resume content 82,Job description content 82,0.688462773950854
Resume content 83,Job description content 83,0.43483369919328196
Resume content 84,Job description content 84,0.8390675987644527
Resume content 85,Job description content 85,0.954993883026233
Resume content 86,Job description content 86,0.6183442073789471
Resume content 87,Job description content 87,0.5680396049323024
Resume content 88,Job description content 88,0.8231952903093115
Resume content 89,Job description content 89,0.35713556647135314
Resume content 90,Job description content 90,0.27384911986207616
Resume content 91,Job description content 91,0.9570114201708231
Resume content 92,Job description content 92,0.13135089408852751
Resume content 93,Job description content 93,0.6019457965147837
Resume content 94,Job description content 94,0.5855180473130094
Resume content 95,Job description content 95,0.06564719217878123
Resume content 96,Job description content 96,0.7255164703664434
Resume content 97,Job description content 97,0.40608535753096264
Resume content 98,Job description content 98,0.9526958546010043
Resume content 99,Job description content 99,0.15142284623285318
Resume content 100,Job description content 100,0.4665241520377391
Resume content 101,Job description content 101,0.49145192571030716
Resume content 102,Job description content 102,0.43594876822118944
Resume content 103,Job description content 103,0.4318025814243439
Resume content 104,Job description content 104,0.7355785798590819
Resume content 105,Job description content 105,0.6766365112148892
Resume content 106,Job description content 106,0.9788914098975019
Resume content 107,Job description content 107,0.747175017018622
Resume content 108,Job description content 108,0.6143747143186471
Resume content 109,Job description content 109,0.3937718546235459
Resume content 110,Job description content 110,0.3289555520203439
Resume content 111,Job description content 111,0.2347637625993949
Resume content 112,Job description content 112,0.789728100281604
Resume content 113,Job description content 113,0.5160910265660698
Resume content 114,Job description content 114,0.8055637105683973
Resume content 115,Job description content 115,0.9649396243261775
Resume content 116,Job description content 116,0.8145757056449475
Resume content 117,Job description content 117,0.874305351307094
Resume content 118,Job description content 118,0.14669656360730765
Resume content 119,Job description content 119,0.6544964357080117
Resume content 120,Job description content 120,0.0038767099377794434
Resume content 121,Job description content 121,0.43042992774447864
Resume content 122,Job description content 122,0.023065387044250096
Resume content 123,Job description content 123,0.587029273767699
Resume content 124,Job description content 124,0.3950333088634651
Resume content 125,Job description content 125,0.7988061195177272
Resume content 126,Job description content 126,0.29181366753174276
Resume content 127,Job description content 127,0.9225649406761155
Resume content 128,Job description content 128,0.11224865632759473
Resume content 129,Job description content 129,0.800260450020703
Resume content 130,Job description content 130,0.42185904301004384
Resume content 131,Job description content 131,0.27268267256808554
Resume content 132,Job description content 132,0.3510921412624989
Resume content 133,Job description content 133,0.47741497391880083
Resume content 134,Job description content 134,0.7976791750687318
Resume content 135,Job description content 135,0.5417510491760238
Resume content 136,Job description content 136,0.9874550585593433
Resume content 137,Job description content 137,0.58106550860323
Resume content 138,Job description content 138,0.3298403082023258
Resume content 139,Job description content 139,0.9297998378129109
Resume content 140,Job description content 140,0.8964652052263207
Resume content 141,Job description content 141,0.28387359723103445
Resume content 142,Job description content 142,0.7553725201476635
Resume content 143,Job description content 143,0.39881041985054355
Resume content 144,Job description content 144,0.6275045621816108
Resume content 145,Job description content 145,0.7262901736613269
Resume content 146,Job description content 146,0.22198733343909072
Resume content 147,Job description content 147,0.258281232342507
Resume content 148,Job description content 148,0.10688558314090124
Resume content 149,Job description content 149,0.8135932203845253
Resume content 150,Job description content 150,0.8387702745149728
Resume content 151,Job description content 151,0.30585933023254075
Resume content 152,Job description content 152,0.5685355641642065
Resume content 153,Job description content 153,0.34849192632587134
Resume content 154,Job description content 154,0.35924973429344265
Resume content 155,Job description content 155,0.0036831085267617913
Resume content 156,Job description content 156,0.1723175338060946
Resume content 157,Job description content 157,0.6474459493663389
Resume content 158,Job description content 158,0.07136705254049203
Resume content 159,Job description content 159,0.8188160786119892
Resume content 160,Job description content 160,0.1258157059054974
Resume content 161,Job description content 161,0.6574338378382423
Resume content 162,Job description content 162,0.03103277382421088
Resume content 163,Job description content 163,0.21747304072509432
Resume content 164,Job description content 164,0.49291024993803134
Resume content 165,Job description content 165,0.40369946585736094
Resume content 166,Job description content 166,0.31414069116260335
Resume content 167,Job description content 167,0.8478155061307495
Resume content 168,Job description content 168,0.5973315384059876
Resume content 169,Job description content 169,0.09783874159685646
Resume content 170,Job description content 170,0.3178913351453172
Resume content 171,Job description content 171,0.765854933678976
Resume content 172,Job description content 172,0.14887697359873353
Resume content 173,Job description content 173,0.9811929293004255
Resume content 174,Job description content 174,0.32942396884922887
Resume content 175,Job description content 175,0.9244980922633163
Resume content 176,Job description content 176,0.9151821340971559
Resume content 177,Job description content 177,0.5643535519837191
Resume content 178,Job description content 178,0.5975451432080457
Resume content 179,Job description content 179,0.5674308980641181
Resume content 180,Job description content 180,0.8571872086980907
Resume content 181,Job description content 181,0.9208708517394834
Resume content 182,Job description content 182,0.09473262072337085
Resume content 183,Job description content 183,0.049234276061277615
Resume content 184,Job description content 184,0.010608935013799003
Resume content 185,Job description content 185,0.7603587050758595
Resume content 186,Job description content 186,0.04984972003701349
Resume content 187,Job description content 187,0.6450193017877665
Resume content 188,Job description content 188,0.5061757514677531
Resume content 189,Job description content 189,0.19345756638781741
Resume content 190,Job description content 190,0.22716101201580863
Resume content 191,Job description content 191,0.2833463568324539
Resume content 192,Job description content 192,0.10621719334732194
Resume content 193,Job description content 193,0.788970302942659
Resume content 194,Job description content 194,0.5055211103616277
Resume content 195,Job description content 195,0.6279451763029823
Resume content 196,Job description content 196,0.8259635903395484
Resume content 197,Job description content 197,0.5000102596840087
Resume content 198,Job description content 198,0.5843106836372829
Resume content 199,Job description content 199,0.4498514289192631
Resume content 200,Job description content 200,0.33314989957542585
Resume content 201,Job description content 201,0.6120675418211832
Resume content 202,Job description content 202,0.9844150958594909
Resume content 203,Job description content 203,0.8404244185763791
Resume content 204,Job description content 204,0.10000600069376264
Resume content 205,Job description content 205,0.011882602880296855
Resume content 206,Job description content 206,0.38402865527036156
Resume content 207,Job description content 207,0.37614060501041047
Resume content 208,Job description content 208,0.8603798270435319
Resume content 209,Job description content 209,0.7566627084964554
Resume content 210,Job description content 210,0.7355896632327747
Resume content 211,Job description content 211,0.5272980875083558
Resume content 212,Job description content 212,0.38671948844848814
Resume content 213,Job description content 213,0.26176393513089324
Resume content 214,Job description content 214,0.5250038090014957
Resume content 215,Job description content 215,0.6734667695831016
Resume content 216,Job description content 216,0.7681644801694678
Resume content 217,Job description content 217,0.07817162380014753
Resume content 218,Job description content 218,0.25794958511778343
Resume content 219,Job description content 219,0.47876122276818134
Resume content 220,Job description content 220,0.6394496862653677
Resume content 221,Job description content 221,0.985020989395703
Resume content 222,Job description content 222,0.1582516890507838
Resume content 223,Job description content 223,0.35934992612404093
Resume content 224,Job description content 224,0.6875496391799074
Resume content 225,Job description content 225,0.07551241513855833
Resume content 226,Job description content 226,0.26537256486312855
Resume content 227,Job description content 227,0.7698805890727294
Resume content 228,Job description content 228,0.8946003336237782
Resume content 229,Job description content 229,0.3784593623221384
Resume content 230,Job description content 230,0.3607673525525483
Resume content 231,Job description content 231,0.6705873217731082
Resume content 232,Job description content 232,0.4999867584544697
Resume content 233,Job description content 233,0.9805728345398521
Resume content 234,Job description content 234,0.010812586293063475
Resume content 235,Job description content 235,0.3912746059396123
Resume content 236,Job description content 236,0.2816135025386748
Resume content 237,Job description content 237,0.09998614137911654
Resume content 238,Job description content 238,0.5745259168213093
Resume content 239,Job description content 239,0.8167244570479933
Resume content 240,Job description content 240,0.23283065511139722
Resume content 241,Job description content 241,0.47521627685763934
Resume content 242,Job description content 242,0.2737758200863638
Resume content 243,Job description content 243,0.16135942114244217
Resume content 244,Job description content 244,0.39424273703031565
Resume content 245,Job description content 245,0.6507877665298296
Resume content 246,Job description content 246,0.06104240075257361
Resume content 247,Job description content 247,0.2355083838705524
Resume content 248,Job description content 248,0.7935029523585211
Resume content 249,Job description content 249,0.7036691874856958
Resume content 250,Job description content 250,0.3624588856932298
Resume content 251,Job description content 251,0.4140821939771503
Resume content 252,Job description content 252,0.5503640151213776
Resume content 253,Job description content 253,0.7213404732445002
Resume content 254,Job description content 254,0.033449145286314486
Resume content 255,Job description content 255,0.6699638130377554
Resume content 256,Job description content 256,0.5655378131661141
Resume content 257,Job description content 257,0.5605059296312329
Resume content 258,Job description content 258,0.4909863709812333
Resume content 259,Job description content 259,0.7564885858180249
Resume content 260,Job description content 260,0.5646592052782825
Resume content 261,Job description content 261,0.06423188464268648
Resume content 262,Job description content 262,0.008119189971053542
Resume content 263,Job description content 263,0.6251043203250614
Resume content 264,Job description content 264,0.6824441544249938
Resume content 265,Job description content 265,0.09620204765883433
Resume content 266,Job description content 266,0.527124346656076
Resume content 267,Job description content 267,0.36100239206254914
Resume content 268,Job description content 268,0.09286688594468262
Resume content 269,Job description content 269,0.7237320863636231
Resume content 270,Job description content 270,0.009263875137120903
Resume content 271,Job description content 271,0.10897069028613737
Resume content 272,Job description content 272,0.6231405450908033
Resume content 273,Job description content 273,0.2763305796422637
Resume content 274,Job description content 274,0.6448840921233936
Resume content 275,Job description content 275,0.05685138944906032
Resume content 276,Job description content 276,0.9534090102664657
Resume content 277,Job description content 277,0.007733304642224548
Resume content 278,Job description content 278,0.3453247331956202
Resume content 279,Job description content 279,0.7340661185776016
Resume content 280,Job description content 280,0.8407951151813109
Resume content 281,Job description content 281,0.8932504117326421
Resume content 282,Job description content 282,0.5786631383319671
Resume content 283,Job description content 283,0.3678157938044432
Resume content 284,Job description content 284,0.09415931679093215
Resume content 285,Job description content 285,0.1815531519443483
Resume content 286,Job description content 286,0.5394661373888819
Resume content 287,Job description content 287,0.9168234193587773
Resume content 288,Job description content 288,0.928098564625159
Resume content 289,Job description content 289,0.47478905937088667
Resume content 290,Job description content 290,0.6172520213916994
Resume content 291,Job description content 291,0.540746857803743
Resume content 292,Job description content 292,0.9878519907452354
Resume content 293,Job description content 293,0.7627812325994695
Resume content 294,Job description content 294,0.9180331408369573
Resume content 295,Job description content 295,0.09007063244884972
Resume content 296,Job description content 296,0.19091610694351124
Resume content 297,Job description content 297,0.4547869126184093
Resume content 298,Job description content 298,0.22513532597567498
Resume content 299,Job description content 299,0.7048405116259584
Resume content 300,Job description content 300,0.8560415999782144
Resume content 301,Job description content 301,0.9265727390060816
Resume content 302,Job description content 302,0.5488098117369316
Resume content 303,Job description content 303,0.25460108538991655
Resume content 304,Job description content 304,0.3745836334851316
Resume content 305,Job description content 305,0.9117368545711679
Resume content 306,Job description content 306,0.010668183342078641
Resume content 307,Job description content 307,0.8773061170561847
Resume content 308,Job description content 308,0.7043443172197995
Resume content 309,Job description content 309,0.44552489122394434
Resume content 310,Job description content 310,0.2909961833602073
Resume content 311,Job description content 311,0.3182798203386531
Resume content 312,Job description content 312,0.6055487590203725
Resume content 313,Job description content 313,0.32858569952882366
Resume content 314,Job description content 314,0.6394028296414829
Resume content 315,Job description content 315,0.10676260892299938
Resume content 316,Job description content 316,0.8496892049392889
Resume content 317,Job description content 317,0.7818935929061966
Resume content 318,Job description content 318,0.9764018852804439
Resume content 319,Job description content 319,0.8140758871899886
Resume content 320,Job description content 320,0.3196280366805261
Resume content 321,Job description content 321,0.7168003880428389
Resume content 322,Job description content 322,0.8113541879954489
Resume content 323,Job description content 323,0.41630621755040065
Resume content 324,Job description content 324,0.5985597935320892
Resume content 325,Job description content 325,0.5069461284110575
Resume content 326,Job description content 326,0.8632146970098665
Resume content 327,Job description content 327,0.36135594531615867
Resume content 328,Job description content 328,0.7096443037317078
Resume content 329,Job description content 329,0.1637629002247981
Resume content 330,Job description content 330,0.6974389462171817
Resume content 331,Job description content 331,0.5498073645516711
Resume content 332,Job description content 332,0.34292354216010645
Resume content 333,Job description content 333,0.23311181797271452
Resume content 334,Job description content 334,0.7928086595928058
Resume content 335,Job description content 335,0.245705118894483
Resume content 336,Job description content 336,0.7940212716579717
Resume content 337,Job description content 337,0.6775985344033508
Resume content 338,Job description content 338,0.4005844812100853
Resume content 339,Job description content 339,0.22602460755815834
Resume content 340,Job description content 340,0.10024518403748295
Resume content 341,Job description content 341,0.2785329240679648
Resume content 342,Job description content 342,0.015540760251723684
Resume content 343,Job description content 343,0.4590755488632615
Resume content 344,Job description content 344,0.44307475450950207
Resume content 345,Job description content 345,0.0432370079597828
Resume content 346,Job description content 346,0.3625922992267677
Resume content 347,Job description content 347,0.2478906519295211
Resume content 348,Job description content 348,0.14119486355403232
Resume content 349,Job description content 349,0.04817143438427329
Resume content 350,Job description content 350,0.4738352722921778
Resume content 351,Job description content 351,0.4733601800015156
Resume content 352,Job description content 352,0.999320968051759
Resume content 353,Job description content 353,0.820113642293057
Resume content 354,Job description content 354,0.745392476990743
Resume content 355,Job description content 355,0.2713139602651071
Resume content 356,Job description content 356,0.15022876509878802
Resume content 357,Job description content 357,0.00901299263742239
Resume content 358,Job description content 358,0.8776917190208325
Resume content 359,Job description content 359,0.15576989862855528
Resume content 360,Job description content 360,0.6130513335996681
Resume content 361,Job description content 361,0.7433590885204299
Resume content 362,Job description content 362,0.7776423982000115
Resume content 363,Job description content 363,0.9683617753029103
Resume content 364,Job description content 364,0.26512646374473314
Resume content 365,Job description content 365,0.38192571032428957
Resume content 366,Job description content 366,0.09943425673650408
Resume content 367,Job description content 367,0.7834030561408509
Resume content 368,Job description content 368,0.9306383347076459
Resume content 369,Job description content 369,0.6967642934349074
Resume content 370,Job description content 370,0.7935990360432406
Resume content 371,Job description content 371,0.7704675576151025
Resume content 372,Job description content 372,0.7645416592131166
Resume content 373,Job description content 373,0.5932418679730083
Resume content 374,Job description content 374,0.4831909145908535
Resume content 375,Job description content 375,0.7929000306977627
Resume content 376,Job description content 376,0.8902790742007826
Resume content 377,Job description content 377,0.3437066117786234
Resume content 378,Job description content 378,0.4689599212230635
Resume content 379,Job description content 379,0.8584400423075412
Resume content 380,Job description content 380,0.31051124505694916
Resume content 381,Job description content 381,0.026535916461070896
Resume content 382,Job description content 382,0.6114576249083548
Resume content 383,Job description content 383,0.18326963757662906
Resume content 384,Job description content 384,0.4875249877492067
Resume content 385,Job description content 385,0.22601629623351083
Resume content 386,Job description content 386,0.7639185494324346
Resume content 387,Job description content 387,0.4259785759949357
Resume content 388,Job description content 388,0.3513927328163089
Resume content 389,Job description content 389,0.3717663977086497
Resume content 390,Job description content 390,0.48929753232382045
Resume content 391,Job description content 391,0.5560344041790967
Resume content 392,Job description content 392,0.4346656675756341
Resume content 393,Job description content 393,0.6848085566236769
Resume content 394,Job description content 394,0.07695349461060419
Resume content 395,Job description content 395,0.5882728895511818
Resume content 396,Job description content 396,0.15252275269408422
Resume content 397,Job description content 397,0.19705975529818276
Resume content 398,Job description content 398,0.28925068184771385
Resume content 399,Job description content 399,0.20564457608445863
Resume content 400,Job description content 400,0.531086295283276
Resume content 401,Job description content 401,0.1618029800140126
Resume content 402,Job description content 402,0.978642673153731
Resume content 403,Job description content 403,0.28085920036563783
Resume content 404,Job description content 404,0.3868490553719408
Resume content 405,Job description content 405,0.1782593343610771
Resume content 406,Job description content 406,0.30975456033425475
Resume content 407,Job description content 407,0.5165513995805917
Resume content 408,Job description content 408,0.9975176190994685
Resume content 409,Job description content 409,0.6952276273719026
Resume content 410,Job description content 410,0.9525794464690085
Resume content 411,Job description content 411,0.21597750904743185
Resume content 412,Job description content 412,0.8626049568688915
Resume content 413,Job description content 413,0.15616173906617603
Resume content 414,Job description content 414,0.3792735203601699
Resume content 415,Job description content 415,0.5153779771220323
Resume content 416,Job description content 416,0.1478208391582465
Resume content 417,Job description content 417,0.7664032867710374
Resume content 418,Job description content 418,0.40870307697051356
Resume content 419,Job description content 419,0.34928560350077587
Resume content 420,Job description content 420,0.7136362175419774
Resume content 421,Job description content 421,0.3365383117076546
Resume content 422,Job description content 422,0.0964679130438646
Resume content 423,Job description content 423,0.6367321931864627
Resume content 424,Job description content 424,0.9801267353592725
Resume content 425,Job description content 425,0.8292547712693277
Resume content 426,Job description content 426,0.8730782184372253
Resume content 427,Job description content 427,0.2543925060707606
Resume content 428,Job description content 428,0.7083592207680975
Resume content 429,Job description content 429,0.9021604676470142
Resume content 430,Job description content 430,0.8482747419939365
Resume content 431,Job description content 431,0.7839951747697055
Resume content 432,Job description content 432,0.950972886006646
Resume content 433,Job description content 433,0.49402039160866285
Resume content 434,Job description content 434,0.46204245976768843
Resume content 435,Job description content 435,0.8578443707386336
Resume content 436,Job description content 436,0.736090055373763
Resume content 437,Job description content 437,0.5871680967797159
Resume content 438,Job description content 438,0.3915354366620819
Resume content 439,Job description content 439,0.6449163398754538
Resume content 440,Job description content 440,0.8518160739504741
Resume content 441,Job description content 441,0.3215531028406128
Resume content 442,Job description content 442,0.2518233318378832
Resume content 443,Job description content 443,0.5620407771673426
Resume content 444,Job description content 444,0.20209457392834218
Resume content 445,Job description content 445,0.9572147024255487
Resume content 446,Job description content 446,0.15902214051632102
Resume content 447,Job description content 447,0.23147653790797784
Resume content 448,Job description content 448,0.9336632456494531
Resume content 449,Job description content 449,0.5434361197161056
Resume content 450,Job description content 450,0.05480495394759077
Resume content 451,Job description content 451,0.75084686953218
Resume content 452,Job description content 452,0.05971920990346047
Resume content 453,Job description content 453,0.9000060460433646
Resume content 454,Job description content 454,0.8426520437437375
Resume content 455,Job description content 455,0.20134024044310128
Resume content 456,Job description content 456,0.7105891792010947
Resume content 457,Job description content 457,0.8182544213884959
Resume content 458,Job description content 458,0.6949781474988702
Resume content 459,Job description content 459,0.8847382766042134
Resume content 460,Job description content 460,0.7636864305864868
Resume content 461,Job description content 461,0.5721265896925068
Resume content 462,Job description content 462,0.20034911040081627
Resume content 463,Job description content 463,0.8718567897035445
Resume content 464,Job description content 464,0.5865681787545624
Resume content 465,Job description content 465,0.4671482332555068
Resume content 466,Job description content 466,0.7634046482282462
Resume content 467,Job description content 467,0.43827936225092556
Resume content 468,Job description content 468,0.08682102418549498
Resume content 469,Job description content 469,0.5579736578353978
Resume content 470,Job description content 470,0.8455818924601785
Resume content 471,Job description content 471,0.5974358730784036
Resume content 472,Job description content 472,0.5468947037743693
Resume content 473,Job description content 473,0.16123279498140097
Resume content 474,Job description content 474,0.13187336706942387
Resume content 475,Job description content 475,0.17704305103234186
Resume content 476,Job description content 476,0.9419327445149449
Resume content 477,Job description content 477,0.9557802379378387
Resume content 478,Job description content 478,0.4598817738051877
Resume content 479,Job description content 479,0.0882892385979851
Resume content 480,Job description content 480,0.8941066050631994
Resume content 481,Job description content 481,0.1934041304306804
Resume content 482,Job description content 482,0.02294650267077536
Resume content 483,Job description content 483,0.8886765622653531
Resume content 484,Job description content 484,0.5422721413534083
Resume content 485,Job description content 485,0.9972154624354789
Resume content 486,Job description content 486,0.665179879156227
Resume content 487,Job description content 487,0.8583510122023333
Resume content 488,Job description content 488,0.0684745622736147
Resume content 489,Job description content 489,0.6403978895624934
Resume content 490,Job description content 490,0.5695132582878438
Resume content 491,Job description content 491,0.10168964831514449
Resume content 492,Job description content 492,0.682135057225408
Resume content 493,Job description content 493,0.43224432706463034
Resume content 494,Job description content 494,0.5859763205358138
Resume content 495,Job description content 495,0.6941545462304829
Resume content 496,Job description content 496,0.9917556085415236
Resume content 497,Job description content 497,0.38738476184902637
Resume content 498,Job description content 498,0.6790869464948098
Resume content 499,Job description content 499,0.5164208072539128
